year,gdp_growth,inflation,unemployment,gdp_per_capita,population,food_production_index,cereal_yield,cereal_production_tonnes,agricultural_land_pct,dietary_energy_supply_adequacy,economic_stress_score,data_completeness_score,latitude,longitude,food_pressure_score,income_group_Low_income,income_group_Lower_middle_income,income_group_Not_classified,income_group_Upper_middle_income,inflation_unemployment,inflation_minus_growth,inflation_squared
2002,-0.944953481157384,3.31524678585423,6.91,9.966849518547525,11.430358741313269,75.65,2387.1000000000004,14.09528515230511,11.1111,114.0,57.28,60.0,12.5167,-70.0167,48.7522757938417,False,False,False,False,22.90835529025273,4.260200267011614,10.990861251116801
2003,1.11050459944282,3.65636507938418,6.95,9.99654455931,11.44174090777954,78.59,2346.2,14.215575779558884,11.1111,115.0,53.69,60.0,12.5167,-70.0167,50.05607128404322,False,False,False,False,25.411737301720052,2.54586047994136,13.369005593740082
2004,7.29372807096192,2.52912946932762,6.8,10.073299185086624,11.463094259104883,81.17,2446.25,14.181290525089246,11.1111,115.0,28.75,60.0,12.5167,-70.0167,49.75588931663062,False,False,False,False,17.198080391427816,-4.764598601634299,6.396495872621409
2005,-0.383137672063768,3.39778677828805,7.092,10.092984849206031,11.489001556850855,82.55,2538.05,14.210716776486588,11.1111,116.0,54.05,60.0,12.5167,-70.0167,50.53020876463358,False,False,False,False,24.09710383161885,3.780924450351818,11.544954990709087
2006,1.12741146411624,3.60802438784541,6.5,10.120478555023256,11.506967752995982,84.46,2523.6,14.301327252191962,11.1111,117.0,53.52,60.0,12.5167,-70.0167,50.681274051050046,False,False,False,False,23.452158520995166,2.48061292372917,13.017839983287246
2007,3.0895443848509,5.39256784475516,6.002,10.193815207760816,11.51443432606658,86.5,2587.2,14.244692248028295,11.1111,118.0,53.47,60.0,12.5167,-70.0167,49.36587611399904,False,False,False,False,32.36619220422047,2.3030234599042596,29.07978796028731
2008,1.83575517191368,8.95598705177784,5.787,10.24611613565277,11.522063584881254,89.09,2677.75,14.234144903093208,11.1111,119.0,49.69,60.0,12.5167,-70.0167,50.31055687658784,False,False,False,False,51.828297068638356,7.120231879864159,80.20970407161231
2009,-5.126664870034081,-0.2732499966196445,6.674,10.132047259179275,11.528848025514044,90.19,2706.7,14.336258595362068,11.1111,120.0,38.82,60.0,12.5167,-70.0167,50.16633301931229,False,False,False,False,-1.8236704774395074,4.853414873414437,0.07466556065263573
2010,-2.73345679250639,2.07814071860786,7.037,10.089723942654846,11.531148413858649,91.26,2694.75,14.37060271253806,11.1111,119.5,50.34,60.0,12.5167,-70.0167,51.74969780204189,False,False,False,False,14.623876236843513,4.81159751111425,4.318668846335994
2011,3.36923718421511,4.31629742195203,6.902,10.154766925261653,11.538515235969223,93.28,2776.1,14.290842155843787,11.1111,120.0,42.42,60.0,12.5167,-70.0167,52.097083576888814,False,False,False,False,29.791084806312913,0.9470602377369204,18.630423434749744
2012,-1.04079988436683,0.627471992893372,6.79,10.13144611485631,11.553212916647912,93.89,2792.7,14.385102848970485,11.1111,120.0,36.41,60.0,12.5167,-70.0167,50.44511668107174,False,False,False,False,4.2605348317459955,1.668271877260202,0.39372110186557985
2013,6.43146080719245,-0.2732499966196445,6.709,10.158694396007784,11.568133088366324,96.65,2975.5,14.388585610832138,11.1111,121.0,11.7,60.0,12.5167,-70.0167,49.68284547003919,False,False,False,False,-1.8332342273211948,-6.704710803812095,0.07466556065263573
2014,1.42609864257801,0.421440918881214,6.576,10.170871469050365,11.578788109069931,98.68,3005.65,14.437709688170145,11.1111,121.0,38.86,60.0,12.5167,-70.0167,51.30258066408238,False,False,False,False,2.771395482562863,-1.004657723696796,0.17761244810744198
2015,3.61147995361162,0.474763597342641,6.412,10.220457279565109,11.589025024026094,100.07,3010.5,14.477614845264188,11.1111,121.0,32.52,60.0,12.5167,-70.0167,51.221403347151856,False,False,False,False,3.044184186161014,-3.136716356268979,0.22540047336172536
2016,1.23433537363427,-0.2732499966196445,5.896,10.219850015366124,11.596604629635184,101.39,3020.7,14.501877856981,11.1111,121.0,34.01,60.0,12.5167,-70.0167,49.60218797471666,False,False,False,False,-1.6110819800694238,-1.5075853702539144,0.07466556065263573
2017,3.49342985290626,-0.2732499966196445,5.592,10.255588510818454,11.596678205031605,102.21,3000.9,14.46568522496126,11.1111,122.0,21.64,60.0,12.5167,-70.0167,48.36924060488106,False,False,False,False,-1.5280139810970519,-3.7666798495259046,0.07466556065263573
2018,3.21247111920076,3.6260414135296,5.353,10.311720773305565,11.598267950134272,103.42,2879.9,14.39407763612137,11.1111,122.0,49.79,60.0,12.5167,-70.0167,50.516092562785694,False,False,False,False,19.410199686623947,0.4135702943288404,13.14817633263174
2019,1.22511225158814,4.25746204335427,5.364,10.33028648768482,11.600972971658708,104.62,3119.3,14.593818302983175,11.1111,123.0,62.84,60.0,12.5167,-70.0167,48.99239837812132,False,False,False,False,22.837026400552304,3.03234979176613,18.125983050602315
2020,-5.126664870034081,1.905097220475015,6.375,10.032795352245516,11.595316183139133,105.72,3260.25,14.5020081791263,11.1111,124.0,65.78,35.0,12.5167,-70.0167,48.87849872552729,False,False,False,False,12.14499478052822,7.031762090509096,3.629395419461628
2021,10.299999301348668,3.4754032028987547,6.04,10.194302074091672,11.58711414815244,105.65,3021.25,14.65228772514405,11.1111,125.0,13.74,35.0,12.5167,-70.0167,47.03277397955458,False,False,False,False,20.991435345508478,-6.824596098449914,12.078427422718923
